2,64,selective,1548.4715576171875,13926408192,19010682880
2,64,selective,1542.8074951171875,13926408704,19010682880
2,64,selective,1559.7069091796875,13926409216,19010682880
2,64,selective,1538.3214111328125,13926409728,19010682880
2,64,selective,1538.7615966796875,13926410240,19010682880
2,64,selective,1545.72265625,13926410752,19010682880
2,64,selective,1535.8270263671875,13926411264,19010682880
2,64,selective,1542.1622314453125,13926411776,19010682880
2,64,selective,1541.2618408203125,13926412288,19010682880
2,64,selective,1536.9814453125,13926412800,19010682880
2,256,selective,1532.9300537109375,13930805248,18616418304
2,256,selective,1544.9383544921875,13930805760,18616418304
2,256,selective,1539.64697265625,13930806272,18616418304
2,256,selective,1534.9921875,13930806784,18616418304
2,256,selective,1536.9573974609375,13930807296,18616418304
2,256,selective,1539.7081298828125,13930807808,18616418304
2,256,selective,1538.1058349609375,13930808320,18616418304
2,256,selective,1536.410888671875,13930808832,18616418304
2,256,selective,1533.919677734375,13930809344,18616418304
2,256,selective,1538.5185546875,13930809856,18616418304
2,1024,full,1265.666748046875,13927421952,16743661568
2,1024,full,1272.8408203125,13927422464,16743661568
2,1024,full,1270.251708984375,13927422976,16743661568
2,1024,full,1271.49072265625,13927423488,16743661568
2,1024,full,1267.813720703125,13927424000,16743661568
2,1024,full,1268.3876953125,13927424512,16743661568
2,1024,full,1267.0689697265625,13927425024,16743661568
2,1024,full,1262.935791015625,13927425536,16743661568
2,1024,full,1265.0648193359375,13927426048,16743661568
2,1024,full,1263.7054443359375,13927426560,16743661568
1,4096,full,1268.2796630859375,13952620544,17200840704
1,4096,full,1266.3787841796875,13952621056,17200840704
1,4096,full,1277.756103515625,13952621568,17200840704
1,4096,full,1269.87109375,13952622080,17200840704
1,4096,full,1274.455322265625,13952622592,17200840704
1,4096,full,1274.8133544921875,13952623104,17200840704
1,4096,full,1268.9493408203125,13952623616,17200840704
1,4096,full,1274.2000732421875,13952624128,17200840704
1,4096,full,1273.60400390625,13952624640,17200840704
1,4096,full,1269.4281005859375,13952625152,17200840704
2,64,selective,1587.9002685546875,13926408192,19010682880
2,64,selective,1573.8992919921875,13926408704,19010682880
2,64,selective,1586.60498046875,13926409216,19010682880
2,64,selective,1581.2166748046875,13926409728,19010682880
2,64,selective,1581.5128173828125,13926410240,19010682880
2,64,selective,1575.8590087890625,13926410752,19010682880
2,64,selective,1601.9775390625,13926411264,19010682880
2,64,selective,1575.6676025390625,13926411776,19010682880
2,64,selective,1596.2618408203125,13926412288,19010682880
2,64,selective,1573.1065673828125,13926412800,19010682880
2,256,selective,1526.419921875,13930805248,18616418304
2,256,selective,1527.0748291015625,13930805760,18616418304
2,256,selective,1523.550048828125,13930806272,18616418304
2,256,selective,1524.30615234375,13930806784,18616418304
2,256,selective,1524.4373779296875,13930807296,18616418304
2,256,selective,1538.529541015625,13930807808,18616418304
2,256,selective,1528.799560546875,13930808320,18616418304
2,256,selective,1530.0452880859375,13930808832,18616418304
2,256,selective,1529.5047607421875,13930809344,18616418304
2,256,selective,1522.887451171875,13930809856,18616418304
2,1024,full,1292.0228271484375,13927421952,16743661568
2,1024,full,1292.678466796875,13927422464,16743661568
2,1024,full,1305.142333984375,13927422976,16743661568
2,1024,full,1298.263916015625,13927423488,16743661568
2,1024,full,1294.0377197265625,13927424000,16743661568
